Year,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2011,S12000014,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,23.725852392847116
2011,S12000014,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,219.22991997955907
2011,S12000014,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,53.625053625053624
2011,S12000014,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,1135.4425520854538
2011,S12000014,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,1013.4930386108708
2011,S12000017,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S12000017,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S12000017,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,3.003710738034834
2011,S12000017,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,22.16810374286139
2011,S12000017,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,137.95280634301145
2011,S12000017,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,138.95022231292887
2011,S12000017,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,982.8825210145136
2011,S12000017,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,1176.6531008533054
2011,S12000018,,0-44 years,,Males,,Cerebrovascular Disease,,c,,c,4.667973699302472
2011,S12000018,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S12000018,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,8.663527169440027
2011,S12000018,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,51.338488153318245
2011,S12000018,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,279.7086590510951
2011,S12000018,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,46.61678670489244
2011,S12000018,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,1157.1286498015038
2011,S12000018,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,1004.582135861964
2011,S12000019,,0-44 years,,Males,,Cerebrovascular Disease,,c,,c,9.59025513636599
2011,S12000019,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S12000019,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,9.179753700146875
2011,S12000019,,45-64 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S12000019,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,29.26800714139374
2011,S12000019,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,144.1814248907971
2011,S12000019,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,782.4110959421354
2011,S12000019,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,809.5340943990111
2011,S12000020,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S12000020,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S12000020,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,23.012139503887557
2011,S12000020,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,16.034099928279563
2011,S12000020,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,225.1934983122296
2011,S12000020,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,62.04859104434776
2011,S12000020,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,778.0015974359695
2011,S12000020,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,926.5186721828712
2011,S12000021,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S12000021,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S12000021,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,25.00405829189076
2011,S12000021,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,14.739336686192802
2011,S12000021,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,137.10978586445682
2011,S12000021,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,101.92348966063618
2011,S12000021,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,834.46875581299
2011,S12000021,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,900.8192391923916
2011,S12000023,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S12000023,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S12000023,,45-64 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S12000023,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,65.92439370809439
2011,S12000023,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,79.00596135890255
2011,S12000023,,65-74 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S12000023,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,833.6512933021731
2011,S12000023,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,1255.3850666373353
2011,S12000026,,0-44 years,,Males,,Cerebrovascular Disease,,c,,c,4.788002003594685
2011,S12000026,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S12000026,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,5.1387901575039185
2011,S12000026,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,16.722773735512515
2011,S12000026,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,168.14568566501185
2011,S12000026,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,74.74555305596674
2011,S12000026,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,821.3219574467112
2011,S12000026,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,1164.0598960031489
2011,S12000027,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S12000027,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S12000027,,45-64 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S12000027,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,29.38275232438558
2011,S12000027,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,105.8201058201058
2011,S12000027,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,102.84891494394736
2011,S12000027,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,173.61111111111111
2011,S12000027,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,913.4726206661362
2011,S12000028,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S12000028,,0-44 years,,Females,,Cerebrovascular Disease,,c,,c,3.10638939922429
2011,S12000028,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,22.246631720916007
2011,S12000028,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,22.45193125499738
