Year,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2014,S12000017,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,96.29995142054813
2014,S12000017,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,872.6543395520928
2014,S12000017,,All,d,All,d,Cerebrovascular Disease,220,,94.3881928951433,,95.22348833420529
2014,S12000018,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,17.83062709439393
2014,S12000018,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2014,S12000018,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,17.151265552001973
2014,S12000018,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,111.2455741392186
2014,S12000018,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,511.48137379769133
2014,S12000018,,All,d,All,d,Cerebrovascular Disease,49,,61.3343347102266,,62.2591942976907
2014,S12000019,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,19.565043945156962
2014,S12000019,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,4.660380013032403
2014,S12000019,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,21.536480565052177
2014,S12000019,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,91.24207079349056
2014,S12000019,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,828.9109264338242
2014,S12000019,,All,d,All,d,Cerebrovascular Disease,65,,75.3885409417769,,92.406173369137
2014,S12000020,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,14.869160739752814
2014,S12000020,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2014,S12000020,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,15.284103242946491
2014,S12000020,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,90.29189441708802
2014,S12000020,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,850.2957025019296
2014,S12000020,,All,d,All,d,Cerebrovascular Disease,82,,86.5252717104569,,90.05754949834872
2014,S12000021,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,16.839207906552275
2014,S12000021,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,2.026096117999838
2014,S12000021,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,20.450381143657054
2014,S12000021,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,83.90701226831942
2014,S12000021,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,729.9057473537491
2014,S12000021,,All,d,All,d,Cerebrovascular Disease,105,,76.9343493552169,,81.01519645679997
2014,S12000023,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,17.271384570588715
2014,S12000023,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2014,S12000023,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,30.415064598115706
2014,S12000023,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,72.9235032450959
2014,S12000023,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,476.061101102817
2014,S12000023,,All,d,All,d,Cerebrovascular Disease,12,,55.6070435588508,,58.562459058489246
2014,S12000026,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,13.482566714378086
2014,S12000026,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,2.4412359628932134
2014,S12000026,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,17.304087030658724
2014,S12000026,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,60.62176406663963
2014,S12000026,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,798.117996775181
2014,S12000026,,All,d,All,d,Cerebrovascular Disease,110,,96.4573833742546,,84.09975541985034
2014,S12000027,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,27.13036750820666
2014,S12000027,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2014,S12000027,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,61.27426789270582
2014,S12000027,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,80.48527086572405
2014,S12000027,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,701.1313502148844
2014,S12000027,,All,d,All,d,Cerebrovascular Disease,19,,81.8260120585702,,87.79045595180767
2014,S12000028,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,17.94264251131274
2014,S12000028,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,1.910438636710989
2014,S12000028,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,20.667145471631823
2014,S12000028,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,93.5178502046498
2014,S12000028,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,791.0894791802466
2014,S12000028,,All,d,All,d,Cerebrovascular Disease,116,,103.083622145206,,87.52585781151679
2014,S12000029,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,16.23601001755276
2014,S12000029,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,0.5898154046302194
2014,S12000029,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,14.290623900025404
2014,S12000029,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,101.61193775205678
2014,S12000029,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,996.5598461336896
2014,S12000029,,All,d,All,d,Cerebrovascular Disease,275,,87.2185220424992,,104.46515526800508
2014,S12000030,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,12.3427022290141
2014,S12000030,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2014,S12000030,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,12.140678894060976
2014,S12000030,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,76.32932496644449
2014,S12000030,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,1121.9032392565105
2014,S12000030,,All,d,All,d,Cerebrovascular Disease,85,,92.8758741258741,,112.20315056148875
2014,S12000033,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,20.73712805321516
2014,S12000033,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,3.6033320691257416
2014,S12000033,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,20.651885936131805
2014,S12000033,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,109.06892798117111
2014,S12000033,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,817.9074226853708
2014,S12000033,,All,d,All,d,Cerebrovascular Disease,169,,73.8249170015726,,92.48245457010916
2014,S12000034,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,12.55949663300426
2014,S12000034,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,2.12697639298607
2014,S12000034,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,6.844404424353722
2014,S12000034,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,80.63626201302534
2014,S12000034,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,841.1297822654955
2014,S12000034,,All,d,All,d,Cerebrovascular Disease,189,,72.5444286646452,,87.13082233992844
2014,S12000035,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,11.318882901464248
2014,S12000035,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2014,S12000035,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,18.603481942458725
2014,S12000035,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,51.14534024362765
2014,S12000035,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,846.908082500461
2014,S12000035,,All,d,All,d,Cerebrovascular Disease,87,,99.2584141471762,,86.52191086537397
2014,S12000036,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,15.46762494037435
2014,S12000036,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,0.277632554595374
2014,S12000036,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,18.665772422805436
2014,S12000036,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,85.51607070681635
2014,S12000036,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,745.8253128781647
2014,S12000036,,All,d,All,d,Cerebrovascular Disease,326,,66.1781125027913,,81.19981685477549
2014,S12000038,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,22.44381794115213
2014,S12000038,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,3.7823494842677223
2014,S12000038,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,14.82628956721223
2014,S12000038,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,137.6422749488821
2014,S12000038,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,812.3085288224141
2014,S12000038,,All,d,All,d,Cerebrovascular Disease,138,,79.2056477070539,,93.53164192046567
2014,S12000039,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,30.481724363035077
2014,S12000039,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,2.0284861875694364
2014,S12000039,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,44.20249036059352
2014,S12000039,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,142.18406365254418
2014,S12000039,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,906.1405613299922
2014,S12000039,,All,d,All,d,Cerebrovascular Disease,82,,91.4056403968342,,109.29101969006122
2014,S12000040,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,17.948759787480945
2014,S12000040,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,0.9893881058588738
2014,S12000040,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,20.53495241126011
2014,S12000040,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,98.64132800438034
2014,S12000040,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,825.3697093157247
2014,S12000040,,All,d,All,d,Cerebrovascular Disease,113,,63.7697516930023,,90.61664524502288
2014,S12000041,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,13.30956374357054
2014,S12000041,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2014,S12000041,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,14.779026143384437
2014,S12000041,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,78.05010551097443
2014,S12000041,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,775.2621706736104
2014,S12000041,,All,d,All,d,Cerebrovascular Disease,105,,89.9434641082748,,81.88529836727415
2014,S12000042,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,17.20336280347468
2014,S12000042,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2014,S12000042,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,34.07387102117715
2014,S12000042,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,63.09985076714299
2014,S12000042,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,602.0077696723569
2014,S12000042,,All,d,All,d,Cerebrovascular Disease,98,,66.1581043677851,,69.83575942167408
2014,S12000045,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,11.59333273767185
2014,S12000045,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2014,S12000045,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,9.896512387743975
2014,S12000045,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,75.49863817646884
2014,S12000045,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,551.4415467100129
2014,S12000045,,All,d,All,d,Cerebrovascular Disease,68,,63.7241120794677,,60.17967199518253
2014,S12000047,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,13.343466366726108
2014,S12000047,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,1.0998122192335358
2014,S12000047,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,18.77672607237374
2014,S12000047,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,62.598317963386734
2014,S12000047,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,671.3426920137772
2014,S12000047,,All,d,All,d,Cerebrovascular Disease,248,,67.5289312457454,,72.5633966749607
2014,S12000048,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,10.130844580070896
2014,S12000048,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2014,S12000048,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,13.823124495775389
2014,S12000048,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,52.91371977603843
2014,S12000048,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,745.5835331029979
2014,S12000048,,All,d,All,d,Cerebrovascular Disease,126,,84.6035050023501,,76.32158654713433
2014,S12000049,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,26.03674912998949
2014,S12000049,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,0.9914529586356632
2014,S12000049,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,24.93932466693465
2014,S12000049,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,157.61081975132848
2014,S12000049,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,774.5139026332574
2014,S12000049,,All,d,All,d,Cerebrovascular Disease,416,,69.3749583083183,,93.3996929452836
2014,S12000050,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,26.63200684071372
2014,S12000050,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,1.7040781736750708
2014,S12000050,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,25.65989857076136
2014,S12000050,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,157.2861989525066
2014,S12000050,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,673.3696553065766
2014,S12000050,,All,d,All,d,Cerebrovascular Disease,220,,65.0887573964497,,84.8383952026414
2015,S92000003,d,under75 years,,All,d,Cerebrovascular Disease,860,,17.4255458096324,,18.40310732735564
2015,S92000003,d,0-44 years,,All,d,Cerebrovascular Disease,47,,1.61563494625264,,1.758837803906055
2015,S92000003,d,45-64 years,,All,d,Cerebrovascular Disease,283,,19.1096264574466,,19.504111171196236
2015,S92000003,d,65-74 years,,All,d,Cerebrovascular Disease,530,,97.197591700426,,101.22348374683196
2015,S92000003,d,75plus years,,All,d,Cerebrovascular Disease,3450,,788.180491047869,,815.7317286333845
2015,S92000003,d,All,d,All,d,Cerebrovascular Disease,4310,,80.2158942862461,,90.16268324489825
2015,S12000005,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,17.288335227873734
2015,S12000005,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2015,S12000005,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,20.905425605473596
2015,S12000005,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,97.0709263991866
2015,S12000005,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,769.4921872893559
2015,S12000005,,All,d,All,d,Cerebrovascular Disease,33,,64.2523364485981,,84.98668191340712
2015,S12000006,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,10.474726663179588
2015,S12000006,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,1.4340618367464006
2015,S12000006,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,6.914033822817618
2015,S12000006,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,65.95608484384475
2015,S12000006,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,743.2174019376821
2015,S12000006,,All,d,All,d,Cerebrovascular Disease,133,,88.8621634262043,,76.42156743788482
2015,S12000008,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,22.32952944002424
2015,S12000008,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,5.347589126563185
2015,S12000008,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,22.545858442295987
2015,S12000008,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,109.11924928447144
2015,S12000008,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,913.6413792635332
2015,S12000008,,All,d,All,d,Cerebrovascular Disease,112,,91.758151728658,,102.54759592414004
2015,S12000010,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,13.66704230659848
2015,S12000010,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,3.6504960830577735
2015,S12000010,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,20.381156396591265
2015,S12000010,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,48.23556351482605
2015,S12000010,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,774.841073252753
2015,S12000010,,All,d,All,d,Cerebrovascular Disease,79,,76.661814653081,,82.17270509175236
2015,S12000011,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,14.729815382398542
2015,S12000011,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,2.2189255328591173
2015,S12000011,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,27.602279235536844
2015,S12000011,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,46.58388774115703
2015,S12000011,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,884.3360627806454
2015,S12000011,,All,d,All,d,Cerebrovascular Disease,86,,92.5328168710996,,92.99437764824076
2015,S12000013,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,21.835564355925683
2015,S12000013,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2015,S12000013,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,12.81042402503523
2015,S12000013,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,156.9104875929337
2015,S12000013,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,780.0943933795808
2015,S12000013,,All,d,All,d,Cerebrovascular Disease,29,,107.129663834503,,90.07885896805465
2015,S12000014,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,20.02475239949562
2015,S12000014,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,1.286558041581556
2015,S12000014,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,25.414723975010315
2015,S12000014,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,102.78934750199276
2015,S12000014,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,778.7456589365415
2015,S12000014,,All,d,All,d,Cerebrovascular Disease,122,,76.991038747949,,88.30963398782976
2015,S12000017,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,20.018529212063772
2015,S12000017,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,1.752000290243266
2015,S12000017,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,21.479428750458396
2015,S12000017,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,110.27364578452566
2015,S12000017,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,889.7611517924387
2015,S12000017,,All,d,All,d,Cerebrovascular Disease,221,,94.4000683439409,,98.29536524429751
2015,S12000018,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,13.896058603719784
2015,S12000018,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2015,S12000018,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,30.14875099219459
2015,S12000018,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,44.34280301384224
2015,S12000018,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,1038.0160220911268
2015,S12000018,,All,d,All,d,Cerebrovascular Disease,85,,106.918238993711,,106.06685531758642
2015,S12000019,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,23.7389107676445
2015,S12000019,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,2.148320013749248
2015,S12000019,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,33.056376162284565
2015,S12000019,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,111.26072674406186
2015,S12000019,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,836.1464608528252
2015,S12000019,,All,d,All,d,Cerebrovascular Disease,73,,83.5335850783842,,96.85559027531076
2015,S12000020,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,18.36759097526668
2015,S12000020,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,2.1517763741574965
2015,S12000020,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,18.543792002308983
2015,S12000020,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,101.3185110936738
2015,S12000020,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,755.4710142361351
2015,S12000020,,All,d,All,d,Cerebrovascular Disease,81,,84.8078735210973,,84.70689906874485
2015,S12000021,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,18.60263809943068
2015,S12000021,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,1.6555508254103402
2015,S12000021,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,17.441707546542066
2015,S12000021,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,108.6890545231113
2015,S12000021,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,746.7522737332649
2015,S12000021,,All,d,All,d,Cerebrovascular Disease,113,,83.0088885624036,,84.13610530647577
2015,S12000023,,under75 years,,All,d,Cerebrovascular Disease,0,,0,,0
2015,S12000023,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2015,S12000023,,45-64 years,,All,d,Cerebrovascular Disease,0,,0,,0
2015,S12000023,,65-74 years,,All,d,Cerebrovascular Disease,0,,0,,0
2015,S12000023,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,447.90836949626146
2015,S12000023,,All,d,All,d,Cerebrovascular Disease,10,,46.1467466543609,,40.31175325466353
2015,S12000026,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,16.94043371987806
2015,S12000026,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2015,S12000026,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,22.937765470370717
2015,S12000026,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,88.92654128991235
2015,S12000026,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,768.3138436893232
2015,S12000026,,All,d,All,d,Cerebrovascular Disease,104,,91.2040691046216,,84.56404061712811
2015,S12000027,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,19.07311728991092
2015,S12000027,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2015,S12000027,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,14.798372179060305
2015,S12000027,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,127.95207720350434
2015,S12000027,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,550.6579457894949
2015,S12000027,,All,d,All,d,Cerebrovascular Disease,14,,60.3448275862069,,66.91575185487346
2015,S12000028,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,20.33281973940083
2015,S12000028,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2015,S12000028,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,14.81856732082383
2015,S12000028,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,138.81852974129944
2015,S12000028,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,935.3652217063452
2015,S12000028,,All,d,All,d,Cerebrovascular Disease,137,,121.886120996441,,102.68573591642584
2015,S12000029,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,22.716074481507366
2015,S12000029,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,1.9567094660009583
2015,S12000029,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,23.271808781581296
2015,S12000029,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,128.07595561344897
2015,S12000029,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,854.8974597110629
2015,S12000029,,All,d,All,d,Cerebrovascular Disease,272,,86.0133447174525,,97.61239915216736
2015,S12000030,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,20.604226784305094
2015,S12000030,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2015,S12000030,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,8.305762815099877
2015,S12000030,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,157.6078021687254
2015,S12000030,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,907.1779713421506
2015,S12000030,,All,d,All,d,Cerebrovascular Disease,81,,87.2562749111279,,100.39586379451116
2015,S12000033,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,21.37692037355901
2015,S12000033,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,1.7521127422325171
2015,S12000033,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,14.803047233250137
2015,S12000033,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,138.89570611735098
2015,S12000033,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,742.5913682845708
2015,S12000033,,All,d,All,d,Cerebrovascular Disease,152,,65.9865422183634,,86.28622068555006
2015,S12000034,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,12.467789561581244
2015,S12000034,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,0.6928360749846587
2015,S12000034,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,9.49242596623646
2015,S12000034,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,80.53394418566245
2015,S12000034,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,1118.5610937475687
2015,S12000034,,All,d,All,d,Cerebrovascular Disease,249,,95.0526797984425,,112.01618693832016
2015,S12000035,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,18.237828587532587
2015,S12000035,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,2.6563448694596232
2015,S12000035,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,22.32198658351677
2015,S12000035,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,88.06353657632864
2015,S12000035,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,902.4832234976918
2015,S12000035,,All,d,All,d,Cerebrovascular Disease,96,,110.484520658304,,97.81991412944691
2015,S12000036,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,15.552504880897525
2015,S12000036,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,1.4787309249420797
2015,S12000036,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,17.691324213705563
2015,S12000036,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,82.53394119539095
2015,S12000036,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,703.2994212852657
2015,S12000036,,All,d,All,d,Cerebrovascular Disease,319,,63.9522062508771,,77.44972735729067
2015,S12000038,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,23.53119145318811
2015,S12000038,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,4.769476427818994
2015,S12000038,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,16.447978413171427
2015,S12000038,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,137.8966921132238
2015,S12000038,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,822.2454191628658
2015,S12000038,,All,d,All,d,Cerebrovascular Disease,146,,83.6388634280477,,95.4154719470591
2015,S12000039,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,30.680115160503988
2015,S12000039,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,2.47479247097422
2015,S12000039,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,41.97372141830554
2015,S12000039,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,147.23314938934837
2015,S12000039,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,1103.491849881407
2015,S12000039,,All,d,All,d,Cerebrovascular Disease,98,,109.387208393794,,127.23317128538524
2015,S12000040,,under75 years,,All,d,Cerebrovascular Disease,,c,,c,12.5160202706842
2015,S12000040,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,1.0030147758405263
2015,S12000040,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,15.43831876989008
2015,S12000040,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,64.35043803188447
2015,S12000040,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,846.7634903469493
2015,S12000040,,All,d,All,d,Cerebrovascular Disease,103,,57.6869224306917,,87.59829257754805
